en_sentence	de_sentence	fr_sentence	multi	binary
It's just the beginning.	Das ist erst der Anfang.	Ce n'est qu'un début.	1,5	0
You help me and I'll make you rich.	Helfen Sie mir, ich mache Sie reich.	Aidez-moi et vous serez riche.	8	1
He owns Wolf City Development, which owns Wolf City... which lets us alone.	Er ist Besitzer der Entwicklungs- gesellschaft von Wolf City... und die lassen uns in Ruhe.	Il possède la Wolf City Development, qui possède Wolf City... qui nous fiche la paix.	8	1
Some gang of cutthroats and murderers.	Schöne Bande von Halsabschneidern und Mördern.	Ils sont beaux les coupe-jarrets et les tueurs.	4	0
We whispered your names when we were kids... scared to say them out loud.	Als Kinder flüsterten wir eure Namen... weil wir Angst hatten, sie laut auszusprechen.	On chuchotait vos noms étant enfants. On avait peur de les dire tout haut.	4	0
You got old.	Sie sind alt geworden.	Vous avez vieilli.	3,6	0
Produces beef, beer, shoes... and good times.	Fleisch, Bier, Schuhe werden dort hergestellt... da ist was los.	Produit bœufs, bière, chaussures... et bon temps.	5	1
Well, I mean... when you admire a man, you just go all out.	Nun, ich denke... wenn ihr einen Mann bewundert, werdet ihr schwach.	Oui, enfin... quand vous admirez un homme ce n'est pas à moitié.	5	1
Just throw our hats in the air.	Einfach Spaß haben.	On aurait fait la bringue.	4,8	0
Right there... in those big blue eyes.	Genau hier... in diesen großen, blauen Augen.	D'ici. De ces grands yeux bleus.	2,8	1
Ain't gonna get tied down with no girl.	Ich binde mich nicht an ein Mädchen.	Pas de fil à la patte pour moi.	1,2	0
You know, you're gonna get yourself killed.	Du lässt dich noch umbringen.	Vous savez, vous allez vous faire tuer.	4,7	0
What do you care?	Was kümmert dich das?	Et alors ?	1	0
I never promised to be no hero, did I?	Ich habe nie versprochen, ein Held zu sein.	Je n'ai jamais promis d'être un héros.	1	0
You're no hero, so don't worry about it.	Du bist auch keiner, mach dir keine Sorgen.	Vous n'en êtes pas un, rassurez-vous:	3	0
You've no right to think what you do about me.	Du hast kein Recht, so über mich zu denken.	Vous n'avez pas le droit de penser ça de moi.	1	0
Why don't you just go?	Dann geh schon.	Allez-vous-en !	6,7	0
We believe what the gods did when they made a man crazy was... make him fall in love.	Wir glauben, wenn die Götter jemanden verrückt machen wollen... lassen sie ihn sich verlieben.	Nous croyons que pour rendre un homme fou, les dieux... le font tomber amoureux.	8	1
Well, that's very poetic.	Das ist aber sehr poetisch.	C'est très poétique.	3,5,7	0
What am I gonna do?	Was soll ich tun?	Qu'est-ce que je vais faire ?	4,6	0
Ain't much you can do about us.	Sie können für uns nichts tun.	Vous ne pouvez rien pour nous.	1	0
I reckon I'll see you later, ma'am.	Wir sehen uns später wieder.	A tout à l'heure madame.	2,8	1
I get a kick out of being on the winning side for a change.	Wenn ich zur Abwechslung mal zu den Gewinnern gehöre, finde ich das toll.	Ça me plaît d'être avec les gagnants pour une fois.	2,5	1
Sir Harry wants his money, fast!	Sir Harry will sofort sein Geld zurück!	Sir Harry veut son argent et vite !	1,4	0
What do you want, Cat?	Was ist los, Cat?	Qu'est-ce qu'il y a Cat ?	1	0
You go find it.	Hol sie mir.	Va le chercher.	1	0
We'll always be here with you, ma'am.	Wir sind ja bei dir. Und wir bleiben auch!	On sera toujours là pour vous madame.	5,8	1
Everything's gonna be okay.	Alles wird wieder gut.	Tout se passera bien.	8	1
Want a drink?	Willst du was trinken?	Un verre ?	8	1
Hello, Kid.	Hallo, Kid.	Salut Kid.	5	1
You want a job?	Suchst du einen Job?	Tu veux du boulot ?	8	1
That!	Das also!	Ça !	7	None
There never was any love lost between us.	Wir waren uns nie so sehr grün.	On s'est toujours cordialement détestés.	5	1
A gunfight.	Eine Schießerei.	Un duel.	4	0
Fog your mind so you can't remember a darn thing.	Vernebelt alles, man kann sich an nichts erinnern.	Ça embrume l'esprit et on ne se souvient de rien.	1	0
You and Strawn use to play when you were children?	Sie haben als Kind mit Strawn gespielt?	Vous et Strawn vous étiez amis d'enfance ?	2	1
He was my brother.	Er war mein Bruder.	C'était mon frère.	6	0
It's like that time in Tombstone when he made me walk... stripped down to only my long-handles and my hat.	Es war wie damals in Tombstone, als er mich zwang... nur in Unterhosen und mit Hut herumzulaufen.	Une fois, à Tombstone, il m'a fait traverser la ville... en caleçon avec mon chapeau sur la tête.	4	0
It was just fine.	Es war einfach Klasse.	C'était épatant.	5	1
Half of Wolf City's on the way up here.	Halb Wolf City ist auf dem Weg hierher.	Tout Wolf City se dirige par ici.	2,7	1
We'll take them like the last time.	Wir machen es wie letztes Mal.	On va les recevoir comme l'autre fois.	2	1
Now they got 50 of that Englishman's goons, and more are coming!	Da kommen 50 Schläger des Engländers! Und noch mehr.	Il y a 50 brutes au service de l'Anglais et d'autres arrivent !	2,3,4	0
Are you sure it's him?	Bist du sicher, dass er es ist?	C'est vraiment lui ?	4,7	0
That Englishman wants a fight?	Der Engländer will eine Schießerei?	Cet Anglais veut se battre ?	1,2,4	0
We'll give him the biggest gunfight ever.	Er kann die größte haben, die es jemals gab.	Ce sera un sacré règlement de comptes.	1	0
He wants to die!	Er will sterben!	Il veut mourir !	4	0
It'll be history.	Das wird in die Geschichtsbücher eingehen.	Ce sera historique.	2,5,8	1
It's better than dying in some dirty hotel.	Besser, als in einem dreckigen Hotel zu sterben.	C'est mieux que mourir dans un hôtel miteux.	1,2,6	0
I always feared dying in the gutter with a bellyful of booze.	Ich fürchtete immer, voll gesoffen in der Gosse zu sterben.	Je pensais mourir dans le caniveau le ventre plein de bibine.	4	0
There's still places I want to see and things I want to do.	Ich habe aber noch nicht alles gesehen und gemacht.	J'ai encore beaucoup à voir et à faire.	6	0
Let's go to St. Louis.	Wir gehen nach St. Louis.	Allons à Saint-Louis.	2	1
Why do men think marriage is the only thing we want?	Warum glauben Männer, wir wollen nur heiraten?	Vous croyez tous qu'on cherche un mari !	1,3,6	0
And you, all the time laughing at me.	Und du machst dich ständig über mich lustig.	Tout ce temps vous vous moquiez de moi.	1,3	0
Silly old man looking after that young thing.	Der dumme Alte ist in das junge Ding vernarrt.	Vieil imbécile qui convoite cette jeune nymphe.	1,3	0
- I'm gonna see you do the right thing.	- Und jetzt machen wir es mal richtig.	- Vous allez faire ce qu'il faut.	2,8	1
Don't listen to her!	Hör nicht auf sie!	Ne l'écoutez pas !	4	0
Marry her!	Heirate sie!	Epousez-la !	2,5	1
I'm telling you, she won't marry me!	Aber sie will doch nicht!	Je vous dis qu'elle ne veut pas !	1	0
I'm gonna straighten you out once and for all!	Jetzt zeig ich's dir ein für alle Mal!	Je vais te corriger une fois pour toutes !	1	0
Can I have my store back, now that she's going?	Kann ich meinen Laden wiederhaben, jetzt wo sie geht?	Je peux rouvrir maintenant qu'elle est partie ?	1,2	0
Sir Harry Percival, I presume?	Sir Harry Percival, nehme ich an?	Sir Harry Percival je présume ?	2,5	1
You like our wide open spaces.	Gefallen Ihnen unsere weitläufigen Anlagen?	Vous aimez nos grands espaces à découvert.	5	1
I'm getting frightfully healthy, you know.	Ich werde hier beängstigend gesund.	Je commence à être dans une forme terrible.	2,5	1
Simply gorgeous.	Wunderschön.	Magnifique.	5,8	1
Don't let anybody ever tell you different.	Lassen Sie sich nichts anderes einreden.	Ne laissez personne dire le contraire.	5,8	1
And that's the most gorgeous thing I ever saw.	Und das ist das Schönste, was ich jemals sah.	Et je n'ai jamais rien vu de plus beau.	5	1
Champagne, Hansen!	Champagner, Hansen!	Champagne, Hansen !	5	1
They told me you had a wine cellar, but I didn't believe it.	Ich hörte, Sie haben einen Weinkeller. Das glaube ich nicht.	Ils disaient que vous aviez une cave mais je n'y croyais pas.	7	None
Oh, it's swell!	Oh, es ist Spitze.	Oh, elle est chouette !	5,7	1
Oh, do I like the bed!	Und ob mir das Bett gefällt.	Si le lit me plaît !	5	1
A little wine with music.	Ein wenig Wein und dazu Musik.	Un peu de vin et de musique.	2,5	1
You won't get away with this, Trixie.	Damit kommen Sie nicht durch.	Mais vous le paierez Trixie.	1	0
Sign this.	Unterschreiben Sie.	Signez.	1	0
A confession that you hired Tim Strawn... and are responsible for my father's murder.	Das Geständnis, dass Sie Tim Strawn beauftragten... und an der Ermordung meines Vaters schuld sind.	Vos aveux d'avoir engagé Tim Strawn... et commandité la mort de mon père.	1,6	0
Sign it!	Unterschreiben Sie!	Signez !	2	1
And if I refuse to sign it?	Und wenn ich mich weigere?	Et si je refuse ?	1	0
I'll kill you.	Dann töte ich Sie.	Je vous tue.	1	0
Come on, don't just dawdle.	Auf geht's, nicht so trödeln.	Ne lambinez pas.	1	0
Everybody's waiting.	Alle warten.	Tout le monde attend.	2,6	1
Looking forward to it, I might say.	Sie freuen sich, sozusagen.	Ils meurent d'impatience je dirais.	2	1
I'm sorry they don't like me.	Schade, niemand mag mich.	Je regrette qu'ils me détestent.	6	0
You can't blame them, can you?	Das kann man keinem verübeln.	Peut-on leur en vouloir ?	6	0
You took the bread out of half the mouths of Wolf City.	Du hast halb Wolf City das Essen weggenommen.	Vous avez affamé la moitié de Wolf City.	1,3,4	0
Hallelujah, brothers!	Hallelujah, Brüder!	Alléluia mes frères !	5	1
It's a better world, we're all bound for.	Wir alle werden einmal in eine bessere Welt eingehen.	On ira tous dans un monde meilleur.	2,8	1
Green pastures await the tired sinner, and honey flows like water.	Grüne Wiesen erwarten den müden Sünder... und Milch und Honig fließen.	Il n'y a que prés verdoyants et rivières de miel.	2,5	1
Look at your eyes!	Oh, Ihre Augen!	Vos yeux !	7	None
What's wrong with my eyes?	Was ist los mit meinen Augen?	Qu'est-ce qu'ils ont ?	4	0
We're counting on you.	Wir verlassen uns auf Sie.	On compte sur vous.	8	1
If you have any last words, say them now.	Du kannst jetzt deine letzten Worte sprechen.	Vous pouvez dire vos dernières paroles.	1	0
We'll say farewell to Cat Ballou	~ Und verabschieden uns von Cat Ballou ~	Disons adieu à Cat Ballou	6	0
Let's go!	- Hauen wir ab.	- Tirons-nous.	2	1
Say, that's right.	Sie haben Recht.	Vous avez raison.	2	1
We're all gonna die.	Wir werden alle sterben.	On va tous mourir.	4,6	0
Nobody likes a whiner.	Niemand mag einen Jammerlappen.	Les pleurnichards n'ont jamais la cote.	3	0
Okay, we're all going into the vault now.	Ok, dann alle Mann in den Tresor.	On va descendre à la chambre forte.	2	1
- Do as he says, everyone.	- Tun Sie, was er verlangt.	- Faites ce qu'il dit.	8	1
Now, the police are gonna want me to let some of you go as a sign of good faith.	Die Polizei wird verlangen, dass ich jemanden gehen lasse, als Zeichen des guten Willens.	La police va me demander de vous libérer pour montrer ma bonne foi.	1,3,6	0
- Shut up.	- Klappe.	- Taisez-vous.	1	0
- May I use your phone?	- Kann ich mal telefonieren?	- Puis-je emprunter votre téléphone ?	8	1
- The hostage negotiator's on his way, sir.	Der Vermittler für die Geiseln ist auf dem Weg.	- Le médiateur a été prévenu.	2,4	1
David, you can have the Giants tickets.	David, du kannst die Tickets für die Giants haben.	David, je te donne les billets pour les Giants.	8	1
Damn!	So ein Mist!	Zut !	1	0
- Mom?	- Mom?	- Maman ?	4	0
Who are you?	Wer sind Sie?	Qui êtes-vous ?	1,3	0
Would you call me Chip?	Würden Sie mich Chip nennen?	Vous voulez bien m'appeler Chip ?	6	0
What was that shooting just now, Chip?	Was waren das eben für Schüsse, Chip?	C'était quoi, ce coup de feu, Chip ?	2,4,7	1
They were looking at me.	Sie haben mich angestarrt.	Elles me regardaient.	4	0
Don't you think I know how you plan to get out?	Glauben Sie nicht, ich weiß, was Sie vorhaben?	Vous croyez que je ne connais pas vos plans ?	1,3,7	0
Get out of there!	Kommt sofort runter!	Sortez !	4	0
I want a monster truck.	- Ich will einen Monster-Truck. - Einen was?	Un camión-cross.	2	1
I gotta hang up now because I gotta go kill everybody, okay?	Ich lege dann jetzt auf, weil ich alle umbringen muss, ok?	Je vais raccrocher car je dois aller tuer tout le monde.	1,3	0
Don't try anything rash, or you're dead along with everyone else.	Überstürzen Sie nichts, oder Sie sind tot wie alle anderen.	Ne faites pas de bêtises ou vous mourrez avec les autres.	4	0
Do what he says:	Tut, was er verlangt.	Faites ce qu'il veut:	1,4	0
Are we?	Nicht?	Il aura raison ?	2	1
He said no pilots.	Keine Piloten.	II ne veut pas de pilote.	6,7	0
That means he's flying it.	Er will selbst fliegen.	Il sait piloter.	6,7	0
- He's gonna let one of us go.	- Er wird einen gehen lassen.	- Il va libérer l'un de nous.	2,8	1
- I'm gonna vomit.	- Ich muss kotzen.	- Je vais vomir.	3	0
I'm the first to go.	Ich gehe zuerst.	Je sors.	1	0
You're the kind of person that gets innocent bystanders killed.	Sie sind jemand, durch den Unschuldige ums Leben kommen.	Vous êtes le genre de type à provoquer la mort d'innocents.	1,3,4	0
They're meeting my first demand.	Die erfüllen meine 1. Forderung.	Ils ont accédé à ma 1 re demande.	2,8	1
- Him!	- Er!	- Lui !	3	0
Sir, is human life at stake?	Sir, sind Menschenleben in Gefahr?	Monsieur, des vies humaines sont-elles en jeu ?	4	0
Now, that's original.	Wie originell.	Voilà qui est original.	7	None
No, I would be beholden.	Nein, dann wäre ich Ihnen was schuldig.	Je vous serais redevable.	2	1
I appreciate this damn thing more and more every day.	Ich weiß das Ding jeden Tag mehr zu schätzen.	Je l'apprécie un peu plus chaque jour.	2,5,8	1
We think you're quite brave.	Wir finden, dass Sie sehr mutig sind.	On vous trouve très courageux.	5,8	1
You big pussy!	Sie Waschlappen!	Femmelettes !	1,3	0
- Thank you for using ATT.	- Danke, dass Sie ATT benutzen.	- A T T à votre service.	8	1
- All set.	- Alles klar.	- Prête.	2	1
Bastard!	Mistkerl!	Salaud !	1	0
He's peeking at us through the curtains.	Er beobachtet uns durch die Vorhänge.	Il nous regarde derrière les rideaux.	4	0
Ripping out phones, urinating on desks.	Reißt Telefonkabel heraus und pinkelt auf Schreibtische.	Il a arraché les téléphones et a uriné sur les bureaux.	3,7	0
You see what he did to Miss Cochran's shirt?	Sehen Sie nur, Miss Cochrans Hemd.	Vous avez vu le corsage de Mlle Cochran ?	1,3,6	0
It's not deep, but it's there.	Nicht schlimm, aber immerhin.	Ce n'est pas grave, mais quand même.	5	1
What about dynamite?	Und Dynamit?	Et la dynamite ?	7	None
The man is an animal.	Der Mann ist ein Tier.	Cet homme est un monstre.	3,7	0
- The key is, he's an animal.	- Vergessen Sie nicht, das ist ein Tier.	- Le fait est que c'est un monstre.	8	1
Damn.	Verdammt.	Zut !	1	0
Oh, Phyllis!	Oh Phyllis!	Oh, Phyllis !	7	None
Loomis, could we have two seconds alone?	Loomis, lässt du uns mal 2 Sek. allein?	Loomis, peux-tu nous accorder deux secondes ?	2,8	1
Do you remember the night you proposed?	Erinnerst du dich noch an deinen Antrag?	Tu te souviens de ta demande en mariage ?	5,8	1
I know a way.	Ich weiß auch schon, wie.	Je sais comment faire.	8	1
I found something out yesterday.	Ich weiß es erst seit gestern.	J'ai appris quelque chose hier.	2	1
Especially with a fortune in our falsies.	Vor allem nicht mit einem Vermögen im BH.	Surtout avec le fric qu'on a sur nous.	5	1
Feeling better, I see.	Wie ich sehe, geht es Ihnen besser.	Ça va mieux, on dirait.	5,7	1
Don't try to change the subject.	Lenken Sie nicht vom Thema ab.	Ne changez pas de sujet.	1	0
They would have waited forever to go into that bank.	Die hätten ewig damit gewartet, die Bank zu stürmen.	Ils n'auraient jamais osé entrer dans cette banque.	1,2	0
- I can try.	- Ich versuch's.	- Je vais essayer.	2	1
Clowns carry horns, little rubber ones.	Clowns tragen kleine Hupen aus Gummi.	Les clowns en ont souvent.	1	0
I'll tell you what I think it was.	Ich sage Ihnen, was das war.	Je vais vous le dire.	2	1
How much time did we lose, exactly?	Wie viel Zeit haben wir jetzt verloren?	On a perdu combien de temps, exactement ?	2,7	1
For God's sake, shut that up!	Herrgott noch mal, Ruhe da unten!	Bon sang, arrêtez-moi ça.	1	0
Turn that trash off!	Hört auf mit dem Krach!	Arrêtez ce vacarme.	1,3	0
I never scouted this neighborhood.	Diese Gegend kenne ich nicht.	Je n'ai jamais mis les pieds ici.	7	None
- Shut up!	- Halt die Klappe.	- La ferme.	1	0
- Hey, you shut up!	- Hey, halt selber dein Maul!	- La ferme !	1	0
Does that sign say BQE?	Steht da nicht BQE?	Ce panneau dit BQE ?	5	1
She even had her baby screaming at us.	Sogar ihr Baby hat uns angeschrieen.	Elle a même fait crier son bébé.	3	0
Will you be putting up a new sign?	Kommt da ein neues Schild hin?	Allez-vous mettre un nouveau panneau ?	2	1
- Today's just taking shit down.	- Heute nehmen wir's nur runter.	- Aujourd'hui, on l'enlève.	1	0
Honey, babe.	Schatz, komm mal.	Chéri.	5,8	1
- You've got a gun.	- Du hast eine Pistole.	- Flingue-les.	7	None
I'm glad this happened.	Gut, dass das passiert ist.	Content d'avoir vu ça.	5	1
It's another little reminder of why we pulled this thing.	Das soll uns daran erinnern, warum wir dieses Ding gedreht haben.	Ça m'a rappelé pourquoi on a fait notre coup.	1,2	0
Grimm needs a little reassuring.	Grimm braucht ein wenig Bestätigung.	Grimm a besoin d'être rassuré.	8	1
He's complete now.	Er ist jetzt vollkommen.	Il se sent entier.	5,8	1
That's a stolen car.	Der Wagen ist gestohlen.	La voiture est volée.	4,7	0
Well, yesterday, he was just a guy working in the Department of City Planning.	Na ja, gestern war er nur der Typ, der im Büro für Städteplanung gearbeitet hat.	Hier, c'était juste un membre du Ministêre de l'Urbanisme.	3	0
- This is a fucking nightmare.	Das soll wohl ein Scherz sein.	- C'est un cauchemar.	1,6	0
Shut up.	Halt's Maul.	La ferme.	3	0
Let me give you this watch.	Darf ich Ihnen diese Uhr anbieten?	Mais prenez cette montre.	5,7	1
Oh, sir, you forgot your map.	Sir, Sie haben Ihre Karte vergessen.	Hé, monsieur, vous avez oublié votre plan.	1,2,7	0
- Don't worry about it.	- Keine Sorge.	- Ne t'en fais pas.	8	1
Shouldn't we be going?	Sollten wir nicht langsam los?	On devrait y aller, non ?	1	0
Right, that's better, it's closer.	Stimmt, das ist näher.	Bonne idée, c'est plus prês.	5	1
I think they're gonna kill you with the press too.	Außerdem werden sie Sie in der Presse niedermachen.	Ils vont laisser la presse vous massacrer.	4	0
Well, what do I care.	Aber das kann mir ja egal sein.	Ça m'est complêtement égal.	1,6	0
You're a good person.	Du bist ein guter Mensch.	Tu as un bon fond.	8	1
I'll pay the ticket.	Ich übernehme den Strafzettel.	Je paierai l'amende.	2,3	1
We'll miss the complimentary beverage.	Wir verpassen die Gratisgetränke.	On va rater l'apéritif de bienvenue.	6	0
It's black smoke.	Das ist schwarzer Rauch.	C'est de la fumée noire.	4	0
Do we look like people that are capable of committing a crime?	Sehen wir so aus, als könnten wir ein Verbrechen begehen?	A- t-on l'air de criminels ?	8	1
- Oh, great, Hal.	- Das ist ja großartig, Hal.	- Génial, Hal.	5,8	1
Fifteen hundred?	$1.500? Versuchen Sie's mal mit $2.600.	1500 ?	7	None
We bought a farmhouse, near Woodstock.	Wir haben uns eine Farm in der Nähe von Woodstock gekauft.	On a acheté une ferme, près de Woodstock.	5	1
For your information, I was at Woodstock.	Zu Ihrer Information, ich war in Woodstock dabei.	Sachez que j'y étais, à Woodstock.	1	0
You can shoot us now.	Jetzt können Sie uns erschießen.	Vous pouvez nous abattre.	6	0
I've put the gun down.	Ich hab die Pistole runtergenommen.	J'ai rangé le revolver.	4	0
Where's the whiny guy?	Wo ist die Heulsuse?	Où est le pleurnichard ?	2	1
- It was utter chaos.	- Das war ein ziemliches Chaos.	- C'était le chaos.	6	0
- Robbers, plural?	- Die Täter? Mehrzahl?	- Ils sont plusieurs ?	8	1
- They all coldcocked me.	- Die haben mich kalt erwischt.	- Ils m'ont eu.	1,6	0
- $10,000 for a taxi!	- $10.000 für ein Taxi!	- 10000 $ pour un taxi !	7	None
But I don't know anything about Martinique.	Aber ich weiß gar nichts über Martinique.	Mais je ne sais rien sur la Martinique.	2,7	1
Grimm, I cannot go to prison.	Grimm, ich geh nicht ins Gefängnis.	Grimm, je ne veux pas aller en prison.	4	0
No, I think it's a lot more exciting than that.	Nein, es ist viel aufregender als das.	Non, je pensé que c'est bien mieux que ça.	2,5,8	1
You used to think so too.	Für dich doch auch.	Toi aussi, avant.	8	1
Isn't that what we planned for six months in your bedroom?	Haben wir das nicht seit 6 Monaten in unserem Schlafzimmer geplant?	Ça fait six mois qu'on travaille ce coup dans ta chambre, non ?	7	None
- What's on your mind tonight?	Was haben Sie auf dem Herzen?	- De quoi s'agit-il ?	2	1
- What about it?	- Was ist damit?	- On vous écoute.	2	1
- Was this clown such a bad guy?	- Warum sind alle gegen diesen Clown?	- Ce clown est-il vraiment mauvais ?	1,2	0
I mean, he had a great sense of humor.	Er hat doch einen tollen Sinn für Humor.	II avait beaucoup d'humour.	5,6	1
- He was okay.	- Der war ok.	- Il était sympa.	5	1
How could he say a thing like that?	Wie kann der nur so etwas sagen?	Comment a-t-il pu dire une chose pareille ?	1,3,6,7	0
JFK.	JFK.	JFK.	6	0
- What did Loomis say to get you so upset?	Was hat Loomis denn Schlimmes gesagt?	- Qu'a dit Loomis ?	6	0
No, he's completely loyal to you.	Er ist dir gegenüber völlig loyal.	Il est complêtement loyal envers toi.	8	1
- Please don't say that.	Nicht doch.	- Tu vas contrarier Loomis.	1	0
It's a dead man.	Der Mann ist tot.	Le type est mort.	3	0
I really liked him.	Ich hab ihn gemocht.	Je l'aimais bien.	6	0
I think it was a bowie knife, and I hate knives.	So ein Bowie-Messer. Dabei hasse ich Messer.	Genre machette. J'ai horreur des couteaux.	1,2	0
Knew we'd be too obsessed by the perpetrator inside the bank to see much more than a beard or a blond or a whiny jerk.	Er wusste, dass wir zu sehr auf den Täter in der Bank achten würden, als auf einen weinerlichen Holzfäller oder eine Blondine.	Il savait qu'on serait si préoccupés par le cambrioleur de la banque qu'on ne verrait qu'une barbe, une blonde et un râleur.	1,2,3	0
Can you get up now, pal?	Kannst du aufstehen, Kumpel?	Peux-tu te lever ?	8	1
That's a relief.	Da bin ich aber froh.	C'est déjà ça.	5,8	1
Ask him what money, asshole.	Frag ihn, welches Geld, Arschloch.	De quel argent parle-t-il, bordel ?	1	0
What money, asshole?	Welches Geld, Arschloch?	De quel argent, bordel ?	1,3	0
